openmpi module: lib/openmpi/5.0.10-cuda-13.0
/arf/sw/lib/openmpi/5.0.10-cuda-13.0/bin/mpicc
/arf/sw/lib/openmpi/5.0.10-cuda-13.0/bin/mpirun
nodes: orfoz[266-267]
binaries: osu-micro-benchmarks-7.4/c/mpi/pt2pt/standard/osu_latency osu-micro-benchmarks-7.4/c/mpi/pt2pt/standard/osu_bw osu-micro-benchmarks-7.4/c/mpi/pt2pt/standard/osu_bibw
===LATENCY===

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.35
2                       1.35
4                       1.37
8                       1.37
16                      1.39
32                      1.54
64                      1.65
128                     1.66
256                     1.98
512                     1.93
1024                    2.03
2048                    2.62
4096                    3.25
8192                    4.18
16384                   4.51
32768                   5.39
65536                   7.09
131072                 10.48
262144                 13.72
524288                 22.48
1048576                40.42
2097152                75.11
4194304               159.74
===BW===

# OSU MPI Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       4.34
2                       8.73
4                      17.43
8                      34.91
16                     69.92
32                    135.45
64                    249.94
128                   488.22
256                   993.00
512                  1916.44
1024                 3249.06
2048                 5939.11
4096                10167.47
8192                17027.63
16384               23958.50
32768               26899.27
65536               28326.72
131072              29107.74
262144              29510.21
524288              29720.62
1048576             29829.96
2097152             29865.11
4194304             29908.11
===BIBW===

# OSU MPI Bi-Directional Bandwidth Test v7.4
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       6.44
2                      13.62
4                      25.67
8                      51.10
16                    107.46
32                    209.48
64                    350.72
128                   688.79
256                   975.04
512                  1601.96
1024                 5034.03
2048                 9536.65
4096                14557.60
8192                19020.53
16384               33066.03
32768               44101.55
65536               49895.20
131072              53178.30
262144              55101.78
524288              55888.22
1048576             56469.17
2097152             56706.91
4194304             42864.06
